,timestamp[dd.mm. h],SO2[ug.m-3],PM10[ug.m-3],O3[ug.m-3],NO2[ug.m-3],CO[mg.m-3],PM2.5[ug.m-3]
0,07.04. 00h,3.91,34.12,61.95,15.76,0.32,30.15
1,07.04. 01h,3.93,30.49,73.26,8.89,0.28,28.37
2,07.04. 02h,4.7,29.38,73.31,5.48,0.27,27.53
3,07.04. 03h,5.37,31.12,67.92,6.11,0.28,29.09
4,07.04. 04h,5.32,30.2,65.55,7.68,0.27,28.94
5,07.04. 05h,6.87,29.99,68.12,9.49,0.28,29
6,07.04. 06h,2.95,28.77,62.85,17.03,0.28,28.09
7,07.04. 07h,2.82,32.65,41.01,42.85,0.43,31.66
8,07.04. 08h,3.21,34.14,35.64,46.53,0.48,32.96
9,07.04. 09h,3.46,35.41,45.12,,0.44,34.92
10,07.04. 10h,3.93,37.9,48.62,27.86,0.37,37.51
11,07.04. 11h,4.89,38.82,44.57,37.17,0.4,37.85
12,07.04. 12h,3.86,33.11,43.78,40.73,,32.87
13,07.04. 13h,3.82,29.93,50.84,31.13,0.36,29.45
14,07.04. 14h,4.52,31.44,41.24,41.79,0.5,29.72
15,07.04. 15h,,,,,,
